id,question,sql,explanation
8,"How many new clients did we acquire in 2025?","SELECT COUNT(DISTINCT a.Id) AS New_Clients FROM Account a WHERE a.CreatedDate LIKE '2025-%';","This query counts distinct account IDs that were created in 2025 to show new client acquisition."
9,"What's our client acquisition count for 2025?","SELECT COUNT(DISTINCT a.Id) AS New_Clients FROM Account a WHERE a.CreatedDate LIKE '2025-%';","This query counts unique accounts with creation dates in 2025 to measure client acquisition."
10,"Show me the number of new accounts created this year","SELECT COUNT(DISTINCT a.Id) AS New_Clients FROM Account a WHERE a.CreatedDate LIKE '2025-%';","This query finds new account creation in 2025 by filtering on the CreatedDate field."
11,"How many new projects did we start in 2025?","SELECT COUNT(DISTINCT o.Project_Name__c) AS New_Projects FROM OBM o WHERE o.Year__c = 2025;","This query counts the number of distinct project names from records with Year__c = 2025."
12,"How much revenue comes from new business versus renewals in 2024 and 2025?","SELECT o.Type__c, o.Year__c, SUM(o.Total__c) AS Revenue FROM OBM o WHERE o.Type__c IN ('new', 'renewal') AND o.Year__c IN (2024, 2025) GROUP BY o.Type__c, o.Year__c ORDER BY o.Year__c, o.Type__c;","This query compares revenue from new business versus renewals across two years, showing business composition."
13,"What's the breakdown of our revenue by new and renewal business over the past two years?","SELECT o.Type__c, o.Year__c, SUM(o.Total__c) AS Revenue FROM OBM o WHERE o.Type__c IN ('new', 'renewal') AND o.Year__c IN (2024, 2025) GROUP BY o.Type__c, o.Year__c ORDER BY o.Year__c, o.Type__c;","This query shows year-over-year trends in revenue from new versus renewal business across 2024-2025."
14,"Are we growing more from new customers or from existing customer renewals?","SELECT o.Type__c, o.Year__c, SUM(o.Total__c) AS Revenue FROM OBM o WHERE o.Type__c IN ('new', 'renewal') AND o.Year__c IN (2024, 2025) GROUP BY o.Type__c, o.Year__c ORDER BY o.Year__c, o.Type__c;","This query breaks down revenue growth sources between new sales and renewal business for two years."
15,"What are our highest revenue projects in 2025?","SELECT o.Project_Name__c, SUM(o.Total__c) AS Revenue FROM OBM o WHERE o.Year__c = 2025 GROUP BY o.Project_Name__c ORDER BY Revenue DESC LIMIT 10;","This query identifies the top 10 projects by total revenue for 2025, useful for highlighting success stories."
16,"Which 10 projects generated the most revenue this year?","SELECT o.Project_Name__c, SUM(o.Total__c) AS Revenue FROM OBM o WHERE o.Year__c = 2025 GROUP BY o.Project_Name__c ORDER BY Revenue DESC LIMIT 10;","This query ranks projects by their 2025 revenue contributions, showing the most valuable initiatives."
17,"Show me our top-performing projects by revenue","SELECT o.Project_Name__c, SUM(o.Total__c) AS Revenue FROM OBM o WHERE o.Year__c = 2025 GROUP BY o.Project_Name__c ORDER BY Revenue DESC LIMIT 10;","This query lists the highest revenue-generating projects from 2025, sorted from highest to lowest."
